Time,power_t,power_t-1,power_t-2,power_t-3,power_t-4,power_t-5,power_t-6,power_t-7,power_t-8,power_t-9,power_t-10,power_t-11,power_t-12,power_t-13,power_t-14,power_t-15,power_t-16
2018-06-01 09:00:00-05,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516
2018-06-01 09:15:00-05,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942
2018-06-01 09:30:00-05,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049
2018-06-01 09:45:00-05,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644
2018-06-01 10:00:00-05,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694
2018-06-01 10:15:00-05,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564
2018-06-01 10:30:00-05,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792
2018-06-01 10:45:00-05,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772
2018-06-01 11:00:00-05,1.6575445544554452,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992
2018-06-01 11:15:00-05,1.6268811881188119,1.6575445544554452,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523
