Time,power
2018-04-02 23:45:00-05,0.9755727699530516
2018-04-03 00:00:00-05,0.9326666666666666
2018-04-03 00:15:00-05,0.8675305164319248
2018-04-03 00:30:00-05,0.8427840375586855
2018-04-03 00:45:00-05,0.8108591549295776
2018-04-03 01:00:00-05,0.7932441314553991
2018-04-03 01:15:00-05,0.8487276995305164
2018-04-03 01:30:00-05,0.765582159624413
2018-04-03 01:45:00-05,0.7245727699530516
2018-04-03 02:00:00-05,0.814380281690141
2018-04-03 02:15:00-05,0.7175774647887324
2018-04-03 02:30:00-05,0.7043098591549296
2018-04-03 02:45:00-05,0.7072723004694834
2018-04-03 03:00:00-05,0.6869530516431923
2018-04-03 03:15:00-05,0.6604694835680751
2018-04-03 03:30:00-05,0.7101643192488263
2018-04-03 03:45:00-05,0.6568732394366198
2018-04-03 04:00:00-05,0.6510234741784038
2018-04-03 04:15:00-05,0.6719389671361503
2018-04-03 04:30:00-05,0.6530046948356808
2018-04-03 04:45:00-05,0.6768262910798122
2018-04-03 05:00:00-05,0.6651596244131456
2018-04-03 05:15:00-05,0.5933661971830986
2018-04-03 05:30:00-05,0.6008873239436618
2018-04-03 05:45:00-05,0.5808450704225353
2018-04-03 06:00:00-05,0.5996009389671363
2018-04-03 06:15:00-05,0.6616807511737088
2018-04-03 06:30:00-05,0.7365117370892019
2018-04-03 06:45:00-05,0.8013239436619719
2018-04-03 07:00:00-05,0.8391502347417841
2018-04-03 07:15:00-05,0.9163521126760564
2018-04-03 07:30:00-05,0.9092910798122068
2018-04-03 07:45:00-05,0.8644037558685446
2018-04-03 08:00:00-05,0.8496056338028171
2018-04-03 08:15:00-05,0.8298544600938967
2018-04-03 08:30:00-05,0.8046056338028169
2018-04-03 08:45:00-05,0.8014507042253521
2018-04-03 09:00:00-05,0.8389577464788731
2018-04-03 09:15:00-05,0.8379577464788733
2018-04-03 09:30:00-05,0.8047934272300469
2018-04-03 09:45:00-05,0.8330657276995306
2018-04-03 10:00:00-05,0.8988920187793428
2018-04-03 10:15:00-05,0.8577323943661972
2018-04-03 10:30:00-05,0.8670422535211267
2018-04-03 10:45:00-05,0.8582112676056337
2018-04-03 11:00:00-05,0.8612863849765259
2018-04-03 11:15:00-05,0.9072206572769952
2018-04-03 11:30:00-05,0.9432394366197184
2018-04-03 11:45:00-05,0.8951267605633801
2018-04-03 12:00:00-05,0.9453098591549296
2018-04-03 12:15:00-05,0.8503755868544599
2018-04-03 12:30:00-05,0.8225492957746481
2018-04-03 12:45:00-05,0.8761690140845071
2018-04-03 13:00:00-05,0.8927230046948357
2018-04-03 13:15:00-05,0.9379107981220656
2018-04-03 13:30:00-05,0.8743615023474179
2018-04-03 13:45:00-05,0.9521643192488262
2018-04-03 14:00:00-05,0.9203568075117372
2018-04-03 14:15:00-05,0.9425164319248828
2018-04-03 14:30:00-05,0.895150234741784
2018-04-03 14:45:00-05,0.9071784037558684
2018-04-03 15:00:00-05,0.9231971830985916
2018-04-03 15:15:00-05,1.0369530516431926
2018-04-03 15:30:00-05,1.0389577464788733
2018-04-03 15:45:00-05,1.1667793427230049
2018-04-03 16:00:00-05,1.2408169014084507
2018-04-03 16:15:00-05,1.1247605633802815
2018-04-03 16:30:00-05,1.1262394366197184
2018-04-03 16:45:00-05,1.1789859154929578
2018-04-03 17:00:00-05,1.2785023474178403
2018-04-03 17:15:00-05,1.2499154929577465
2018-04-03 17:30:00-05,1.2380657276995304
2018-04-03 17:45:00-05,1.3470187793427233
2018-04-03 18:00:00-05,1.3733192488262913
2018-04-03 18:15:00-05,1.395868544600939
2018-04-03 18:30:00-05,1.3864929577464788
2018-04-03 18:45:00-05,1.3665399061032864
2018-04-03 19:00:00-05,1.4874835680751173
2018-04-03 19:15:00-05,1.4386525821596243
2018-04-03 19:30:00-05,1.4212676056338027
2018-04-03 19:45:00-05,1.5014272300469484
2018-04-03 20:00:00-05,1.537901408450704
2018-04-03 20:15:00-05,1.50474647887324
2018-04-03 20:30:00-05,1.4861079812206572
2018-04-03 20:45:00-05,1.4845492957746482
2018-04-03 21:00:00-05,1.478558685446009
2018-04-03 21:15:00-05,1.4254225352112675
2018-04-03 21:30:00-05,1.2918215962441315
2018-04-03 21:45:00-05,1.2762769953051645
2018-04-03 22:00:00-05,1.2411830985915493
2018-04-03 22:15:00-05,1.1616666666666668
2018-04-03 22:30:00-05,1.084511737089202
2018-04-03 22:45:00-05,1.0631079812206574
2018-04-03 23:00:00-05,0.994262910798122
2018-04-03 23:15:00-05,0.9342676056338028
2018-04-03 23:30:00-05,0.9258028169014084
2018-04-03 23:45:00-05,0.8529671361502347
2018-04-04 00:00:00-05,0.7907230046948356
2018-04-04 00:15:00-05,0.7126009389671362
2018-04-04 00:30:00-05,0.691568075117371
2018-04-04 00:45:00-05,0.6770704225352112
2018-04-04 01:00:00-05,0.6389906103286386
