Time,power
2018-01-02 16:30:00-06,1.6899004524886883
2018-01-02 16:45:00-06,1.8339366515837108
2018-01-02 17:00:00-06,1.872081447963801
2018-01-02 17:15:00-06,1.9309683257918555
2018-01-02 17:30:00-06,1.9885972850678733
2018-01-02 17:45:00-06,2.0642488687782805
2018-01-02 18:00:00-06,2.170108597285068
2018-01-02 18:15:00-06,2.185357466063349
2018-01-02 18:30:00-06,2.2346380090497737
2018-01-02 18:45:00-06,2.1726606334841625
2018-01-02 19:00:00-06,2.237592760180996
2018-01-02 19:15:00-06,2.2702624434389143
2018-01-02 19:30:00-06,2.1552217194570136
2018-01-02 19:45:00-06,2.1725610859728506
2018-01-02 20:00:00-06,2.0869592760181
2018-01-02 20:15:00-06,2.0077963800904977
2018-01-02 20:30:00-06,1.999891402714932
2018-01-02 20:45:00-06,2.055900452488688
2018-01-02 21:00:00-06,1.9525113122171949
2018-01-02 21:15:00-06,1.9872533936651584
2018-01-02 21:30:00-06,1.9829864253393663
2018-01-02 21:45:00-06,1.8724117647058824
2018-01-02 22:00:00-06,1.9147013574660636
2018-01-02 22:15:00-06,1.7958552036199096
2018-01-02 22:30:00-06,1.915049773755656
2018-01-02 22:45:00-06,1.7793619909502258
2018-01-02 23:00:00-06,1.7958552036199096
2018-01-02 23:15:00-06,1.7440180995475112
2018-01-02 23:30:00-06,1.636262443438914
2018-01-02 23:45:00-06,1.6390950226244343
2018-01-03 00:00:00-06,1.5306199095022623
2018-01-03 00:15:00-06,1.4637420814479638
2018-01-03 00:30:00-06,1.3774117647058823
2018-01-03 00:45:00-06,1.4199049773755654
2018-01-03 01:00:00-06,1.4770271493212668
2018-01-03 01:15:00-06,1.3970995475113124
2018-01-03 01:30:00-06,1.4313484162895926
2018-01-03 01:45:00-06,1.4847104072398192
2018-01-03 02:00:00-06,1.4295610859728507
2018-01-03 02:15:00-06,1.3610950226244345
2018-01-03 02:30:00-06,1.4421312217194573
2018-01-03 02:45:00-06,1.461212669683258
2018-01-03 03:00:00-06,1.422538461538462
2018-01-03 03:15:00-06,1.4500542986425342
2018-01-03 03:30:00-06,1.53747963800905
2018-01-03 03:45:00-06,1.475212669683258
2018-01-03 04:00:00-06,1.4689547511312218
2018-01-03 04:15:00-06,1.5020950226244347
2018-01-03 04:30:00-06,1.4988144796380092
2018-01-03 04:45:00-06,1.507420814479638
2018-01-03 05:00:00-06,1.5547104072398192
2018-01-03 05:15:00-06,1.5693167420814482
2018-01-03 05:30:00-06,1.5414343891402709
2018-01-03 05:45:00-06,1.6276742081447964
2018-01-03 06:00:00-06,1.6617420814479638
2018-01-03 06:15:00-06,1.636918552036199
2018-01-03 06:30:00-06,1.6599411764705885
2018-01-03 06:45:00-06,1.6657782805429866
2018-01-03 07:00:00-06,1.8171312217194568
2018-01-03 07:15:00-06,1.7032624434389143
2018-01-03 07:30:00-06,1.8365972850678736
2018-01-03 07:45:00-06,1.669515837104072
2018-01-03 08:00:00-06,1.7721538461538462
2018-01-03 08:15:00-06,1.9031402714932129
2018-01-03 08:30:00-06,1.7881493212669686
2018-01-03 08:45:00-06,1.7180271493212669
2018-01-03 09:00:00-06,1.6469366515837107
2018-01-03 09:15:00-06,1.6015203619909504
2018-01-03 09:30:00-06,1.5528733031674211
2018-01-03 09:45:00-06,1.4753393665158372
2018-01-03 10:00:00-06,1.4306923076923077
2018-01-03 10:15:00-06,1.4149321266968329
2018-01-03 10:30:00-06,1.5523619909502262
2018-01-03 10:45:00-06,1.4547149321266968
2018-01-03 11:00:00-06,1.4163665158371044
2018-01-03 11:15:00-06,1.3788371040723983
2018-01-03 11:30:00-06,1.3154841628959275
2018-01-03 11:45:00-06,1.314036199095023
2018-01-03 12:00:00-06,1.3181900452488693
2018-01-03 12:15:00-06,1.3528642533936652
2018-01-03 12:30:00-06,1.368760180995475
2018-01-03 12:45:00-06,1.2954660633484163
2018-01-03 13:00:00-06,1.2853846153846151
2018-01-03 13:15:00-06,1.220733031674208
2018-01-03 13:30:00-06,1.2112081447963805
2018-01-03 13:45:00-06,1.211579185520362
2018-01-03 14:00:00-06,1.1469638009049774
2018-01-03 14:15:00-06,1.1443619909502265
2018-01-03 14:30:00-06,1.093755656108597
2018-01-03 14:45:00-06,1.0630452488687785
2018-01-03 15:00:00-06,1.0246968325791856
2018-01-03 15:15:00-06,0.985995475113122
2018-01-03 15:30:00-06,1.0535520361990949
2018-01-03 15:45:00-06,1.07547963800905
2018-01-03 16:00:00-06,1.076556561085973
2018-01-03 16:15:00-06,1.0173800904977377
2018-01-03 16:30:00-06,1.0391447963800906
2018-01-03 16:45:00-06,1.0541945701357467
2018-01-03 17:00:00-06,1.0707013574660635
2018-01-03 17:15:00-06,1.2172760180995477
2018-01-03 17:30:00-06,1.271710407239819
2018-01-03 17:45:00-06,1.412592760180995
2018-01-03 18:00:00-06,1.4378597285067871
2018-01-03 18:15:00-06,1.4381131221719456
2018-01-03 18:30:00-06,1.6056742081447966
2018-01-03 18:45:00-06,1.6541583710407235
2018-01-03 19:00:00-06,1.6800135746606335
2018-01-03 19:15:00-06,1.6649773755656108
